Symbol,Company Name,Industry,Market Cap
ARBG,Aequi Acquisition,Blank Check / SPAC,282.32M
ARBK,Argo Blockchain,Capital Markets,843.11M
ARC,ARC Document Solutions,Commercial Services &amp; Supplies,120.32M
ARCB,ArcBest,Road &amp; Rail,2.64B
ARCC,Ares Capital,Capital Markets,9.28B
ARCE,Arco Platform,Diversified Consumer Services,1.09B
ARCH,Arch Resources,"Oil, Gas &amp; Consumable Fuels",1.19B
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants &amp; Leisure",1.02B
ARCT,Arcturus Therapeutics Holdings,Biotechnology,987.73M
ARDS,Aridis Pharmaceuticals,Biotechnology,30.50M
ARDX,Ardelyx,Biotechnology,138.67M
ARE,Alexandria Real Estate Equities,"Equity Real Estate 
Investment Trusts...",30.71B
AREC,American Resources,"Oil, Gas &amp; Consumable Fuels",101.86M
ARES,Ares Management,Capital Markets,13.87B
ARGO,Argo Group International Holdings,Insurance,1.86B
ARGU,Argus Capital,Blank Check / SPAC,326.19M
ARGX,Argenx SE,Biotechnology,14.61B
ARHS,Arhaus,Home Improvement Retail,1.23B
ARI,Apollo Commercial Real Estate Finance,"Mortgage Real Estate Investment 
Trus...",1.87B
ARIS,Aris Water Solutions,Internet Software &amp; Services (discont...,279.70M
ARKO,ARKO Corp.,Grocery Stores,1.14B
ARKR,Ark Restaurants,"Hotels, Restaurants &amp; Leisure",58.25M
ARL,American Realty Investors,Real Estate Management &amp; Development,187.41M
ARLO,Arlo Technologies,"Electronic Equipment, Instruments &amp; C...",633.09M
ARLP,Alliance Resource Partners,"Oil, Gas &amp; Consumable Fuels",1.26B
ARMK,Aramark,"Hotels, Restaurants &amp; Leisure",8.20B
ARMP,Armata Pharmaceuticals,Biotechnology,130.83M
ARNA,Arena Pharmaceuticals,Biotechnology,3.18B
ARNC,Arconic,Aerospace &amp; Defense,2.85B
AROC,Archrock,Energy Equipment &amp; Services,1.12B
AROW,Arrow Financial,Banks,548.96M
ARQQ,Arqit Quantum,Software-Infrastructure,4.22B
ARQT,Arcutis Biotherapeutics,Biotechnology,777.57M
ARR,ARMOUR Residential REIT,"Mortgage Real Estate Investment 
Trus...",878.06M
ARRW,Arrowroot Acquisition,Blank Check / SPAC,348.95M
ARRY,Array Technologies,Solar,2.38B
ARTA,Artisan Acquisition,Blank Check / SPAC,434.35M
ARTL,Artelo Biosciences,Pharmaceuticals,25.21M
ARTNA,Artesian Resources,Water Utilities,396.51M
ARTW,Art's-Way Manufacturing Co.,Machinery,15.96M
ARVL,Arrival,Auto Manufacturers,5.62B
ARVN,Arvinas,Pharmaceuticals,4.01B
ARW,Arrow Electronics,"Electronic Equipment, Instruments &amp; C...",8.39B
ARWR,Arrowhead Pharmaceuticals,Biotechnology,7.00B
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,191.10M
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,187.07M
ASA,ASA Gold and Precious Metals,Capital Markets,399.30M
ASAI,Sendas Distribuidora,Food &amp; Staples Retailing,5.56B
ASAN,Asana,Software,16.54B
ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,308.12M
ASAX,Astrea Acquisition,Blank Check / SPAC,218.17M
ASB,Associated Banc-Corp,Banks,3.27B
ASC,Ardmore Shipping,"Oil, Gas &amp; Consumable Fuels",122.68M
ASGN,ASGN Incorporated,Professional Services,6.17B
ASH,Ashland Global Holdings,Chemicals,5.70B
ASIX,AdvanSix,Chemicals,1.23B
ASLE,AerSale,Airports &amp; Air Services,795.78M
ASLN,ASLAN Pharmaceuticals,Biotechnology,90.50M
ASM,Avino Silver &amp; Gold Mines,Metals &amp; Mining,84.63M
ASMB,Assembly Biosciences,Biotechnology,107.21M
ASML,ASML Holding,Semiconductors &amp; Semiconductor Equipment,332.32B
ASND,Ascendis Pharma,Biotechnology,8.06B
ASO,Academy Sports and Outdoors,Specialty Retail,3.84B
ASPA,Abri SPAC I,Blank Check / SPAC,64.35M
ASPC,Alpha Capital Acquisition Company,Blank Check / SPAC,284.05M
